date_measured,temperature
2022-06-05 19:49:00+09,33.75
2022-06-05 19:54:00+09,34.4375
2022-06-05 19:59:00+09,33.375
2022-06-05 20:04:00+09,34.1875
2022-06-05 20:09:00+09,33.5625
2022-06-05 20:14:00+09,34.0625
2022-06-05 20:19:00+09,33
2022-06-05 20:24:00+09,32.75
2022-06-05 20:29:00+09,32.125
2022-06-05 20:34:00+09,33.1875
2022-06-05 20:39:00+09,32.0625
2022-06-05 20:44:00+09,32
2022-06-05 20:49:00+09,32.125
2022-06-05 20:54:00+09,33.1875
2022-06-05 20:59:00+09,33.25
2022-06-05 21:04:00+09,33.375
2022-06-05 21:09:00+09,33.6875
2022-06-05 21:14:00+09,33.6875
2022-06-05 21:19:00+09,33.75
2022-06-05 21:24:00+09,33.75
2022-06-05 21:29:00+09,33.8125
2022-06-05 21:34:00+09,33.9375
2022-06-05 21:39:00+09,34.125
2022-06-05 21:44:00+09,33.75
2022-06-05 21:49:00+09,33.125
2022-06-05 21:54:00+09,32.25
2022-06-05 21:59:00+09,32.25
2022-06-05 22:04:00+09,33.375
2022-06-05 22:09:00+09,33.25
2022-06-05 22:14:00+09,33.375
2022-06-05 22:19:00+09,34.1875
2022-06-05 22:24:00+09,33.875
2022-06-05 22:29:00+09,33.6875
2022-06-05 22:34:00+09,33.8125
2022-06-05 22:39:00+09,33.625
2022-06-05 22:44:00+09,33.5625
2022-06-05 22:49:00+09,33.8125
2022-06-05 22:54:00+09,33.8125
2022-06-05 22:59:00+09,33.5625
2022-06-05 23:04:00+09,32.8125
2022-06-05 23:09:00+09,33.0625
2022-06-05 23:14:00+09,31.9375
2022-06-05 23:19:00+09,31.4375
2022-06-05 23:24:00+09,31.5625
2022-06-05 23:29:00+09,33
2022-06-05 23:34:00+09,33.125
2022-06-05 23:39:00+09,33.4375
2022-06-05 23:44:00+09,33.9375
2022-06-05 23:49:00+09,34
2022-06-05 23:54:00+09,34.0625
2022-06-05 23:59:00+09,33.9375
2022-06-06 00:04:00+09,34.0625
2022-06-06 00:09:00+09,33.9375
2022-06-06 00:14:00+09,34.3125
2022-06-06 00:19:00+09,34.5
2022-06-06 00:24:00+09,34.5625
2022-06-06 00:29:00+09,34.625
2022-06-06 00:34:00+09,34.625
2022-06-06 00:39:00+09,34.125
2022-06-06 00:44:00+09,34.375
